employee_name,store_name,total_returns_processed,total_refund_amount
Kari Allen,Super Market at Baldwin Park,4,83.77000000000001
Jessica Williams,Super Market at East Colonial,4,49.73
Patricia Gibson,Super Market at Lake Nona,3,113.44
David Mitchell,Super Market at Waterford Lakes,3,39.33
Hunter Fleming,Super Market at Baldwin Park,3,62.92
Dr. Steven Martin,Super Market at Baldwin Park,3,145.76999999999998
Brittney Campbell,Super Market at Conway Crossing Shopping Center,3,133.33
James House,Super Market at The Villages,3,97.8
Austin Johnson,Super Market at Waterford Lakes,3,104.85
Scott Cole,Super Market at Baldwin Park,3,98.78
Angel Riggs,Super Market at The Villages Shopping Center,3,118.08000000000001
Belinda Mccullough,Super Market at Baldwin Park,3,69.75
Alexis Davis,Super Market at The Villages,2,24.150000000000002
Eric Drake,Super Market at Conway Crossing Shopping Center,2,45.74
Emily Fischer,Super Market at The Villages Shopping Center,2,73.91
Timothy Stanton,Super Market at Baldwin Park Shopping Center,2,13.42
Melissa Marshall,Super Market at Baldwin Park,2,25.91
Toni Fitzgerald,Super Market at East Colonial,2,56.22
Alexander Wiley,Super Market at Baldwin Park,2,28.28
Meghan Anthony,Super Market at East Colonial,2,21.240000000000002
Diane Beck,Super Market at Waterford Lakes,2,45.08
Robert Mcclain,Super Market at Lake Nona,2,29.93
Michael Hoffman,Super Market at Waterford Lakes,2,17.2
Tara Garcia,Super Market at The Villages,2,64.74000000000001
Dominique Horton,Super Market at Waterford Lakes,1,47.22
Shelby Walker,Super Market at East Colonial,1,17.2
Dean Santiago,Super Market at Waterford Lakes,1,20.49
Jason Shields,Super Market at Baldwin Park,1,23.38
Paula Robinson,Super Market at Conway Crossing Shopping Center,1,25.8
Kyle Reed,Super Market at Conway Crossing Shopping Center,1,13.12
Laura Higgins,Super Market at Lake Nona,1,8.05
Andrew Wood,Super Market at Baldwin Park,1,8.4
Dr. Kendra Contreras,Super Market at Waterford Lakes,1,46.23
Thomas Bailey,Super Market at The Villages,1,32.2
Christopher Haynes,Super Market at The Villages,1,9.66
Tim Patton,Super Market at Baldwin Park,1,8.37
Corey Herrera,Super Market at Waterford Lakes,1,63.36
Mary Nguyen,Super Market at The Villages,1,29.12
Andrew Ruiz,Super Market at Waterford Lakes,1,42.44
Jessica Joyce,Super Market at Lake Nona,1,24.92
