employee_name,role,store_name
Austin Johnson,Cake Decorator,Super Market at Waterford Lakes
Jose Ramirez,Bakery Associate,Super Market at The Villages
Brandon Hopkins,Deli Associate,Super Market at Baldwin Park
Corey Herrera,Cake Decorator,Super Market at Waterford Lakes
Clifford Ford,Bakery Associate,Super Market at Lake Nona
Cynthia Russell,Assistant Store Manager,Super Market at Lake Nona
Mr. Daniel Brown,Bagger,Super Market at Lake Nona
Amy Edwards,Meat & Seafood Associate,Super Market at The Villages
Jennifer David,Customer Service Manager,Super Market at Waterford Lakes
Matthew Cunningham,Meat & Seafood Associate,Super Market at Conway Crossing Shopping Center
Tara Garcia,Customer Service Manager,Super Market at The Villages
Kathy King,Pharmacist,Super Market at The Villages Shopping Center
Amanda Cook,Grocery Stock Clerk,Super Market at Waterford Lakes
Andrew Wood,Cake Decorator,Super Market at Baldwin Park
Jessica Williams,Customer Service Manager,Super Market at East Colonial
Timothy Stanton,Pharmacy Technician,Super Market at Baldwin Park Shopping Center
Hunter Fleming,Bakery Associate,Super Market at Baldwin Park
Valerie Brady,Bakery Associate,Super Market at Waterford Lakes
Andrew Ruiz,Pharmacy Technician,Super Market at Waterford Lakes
Meghan Anthony,Deli Associate,Super Market at East Colonial
Belinda Mccullough,Store Manager,Super Market at Baldwin Park
Jamie Adkins,Front Service Clerk,Super Market at The Villages Shopping Center
Keith Sullivan,Assistant Store Manager,Super Market at Baldwin Park
Elizabeth Clark,Pharmacist,Super Market at Waterford Lakes
Lisa Morris,Cake Decorator,Super Market at Baldwin Park
Michael Dixon,Pharmacy Technician,Super Market at Conway Crossing Shopping Center
Toni Fitzgerald,Pharmacy Technician,Super Market at East Colonial
Diane Beck,Customer Service Manager,Super Market at Waterford Lakes
Anna Crane,Deli Associate,Super Market at East Colonial
Laura Higgins,Deli Associate,Super Market at Lake Nona
James Hernandez,Pharmacist,Super Market at The Villages
Paula Robinson,Produce Associate,Super Market at Conway Crossing Shopping Center
Melissa Marshall,Produce Associate,Super Market at Baldwin Park
Sylvia Martinez,Front Service Clerk,Super Market at Lake Nona
Scott Cole,Store Manager,Super Market at Baldwin Park
Kari Allen,Front Service Clerk,Super Market at Baldwin Park
