employee_name,store_name,previous_role,new_role,promotion_date
Tim Patton,Super Market at Baldwin Park,Cashier,Front Service Clerk,2026-06-26
Deborah Preston,Super Market at Lake Nona,Cake Decorator,Deli Associate,2026-06-18
Patricia Gibson,Super Market at Lake Nona,Bagger,Meat & Seafood Associate,2026-05-28
Dominique Horton,Super Market at Waterford Lakes,Bakery Associate,Deli Associate,2026-05-21
Alexandra Howell,Super Market at Waterford Lakes,Front Service Clerk,Meat & Seafood Associate,2026-05-17
Dr. Steven Martin,Super Market at Baldwin Park,Bagger,Pharmacy Technician,2026-05-12
Jessica Joyce,Super Market at Lake Nona,Produce Associate,Deli Associate,2026-05-06
Joshua Turner,Super Market at Waterford Lakes,Meat & Seafood Associate,Grocery Stock Clerk,2026-05-05
Angela Morton,Super Market at Baldwin Park,Meat & Seafood Associate,Meat & Seafood Associate,2026-05-02
Annette Pearson,Super Market at Lake Nona,Pharmacist,Bagger,2026-04-25
Tammie Hanson,Super Market at Waterford Lakes,Produce Associate,Bakery Associate,2026-04-13
David Mitchell,Super Market at Waterford Lakes,Cashier,Front Service Clerk,2026-04-08
Dean Santiago,Super Market at Waterford Lakes,Meat & Seafood Associate,Cashier,2026-03-23
Raymond Bell,Super Market at The Villages,Customer Service Manager,Grocery Stock Clerk,2026-03-23
Michael Hoffman,Super Market at Waterford Lakes,Meat & Seafood Associate,Grocery Stock Clerk,2026-03-22
Adrienne Zimmerman,Super Market at Waterford Lakes,Meat & Seafood Associate,Deli Associate,2026-03-18
Alexander Wiley,Super Market at Baldwin Park,Deli Associate,Front Service Clerk,2026-03-16
Dr. Kendra Contreras,Super Market at Waterford Lakes,Customer Service Manager,Cashier,2026-03-09
Stephanie Dalton,Super Market at Waterford Lakes,Front Service Clerk,Customer Service Manager,2026-03-09
Shelby Walker,Super Market at East Colonial,Cake Decorator,Store Manager,2026-03-08
John Schmidt,Super Market at Waterford Lakes,Grocery Stock Clerk,Bagger,2026-03-07
Jeffrey Meyer,Super Market at East Colonial,Pharmacist,Customer Service Manager,2026-03-04
Thomas Bailey,Super Market at The Villages,Customer Service Manager,Pharmacy Technician,2026-02-22
Brittney Campbell,Super Market at Conway Crossing Shopping Center,Cashier,Deli Associate,2026-02-19
Shelby Walker,Super Market at East Colonial,Bakery Associate,Bakery Associate,2026-02-11
Thomas Bailey,Super Market at The Villages,Customer Service Manager,Cashier,2026-02-03
Rachel Stanley,Super Market at Waterford Lakes,Grocery Stock Clerk,Pharmacist,2026-01-23
Amy Romero,Super Market at East Colonial,Deli Associate,Assistant Store Manager,2026-01-16
John Calhoun,Super Market at Baldwin Park,Grocery Stock Clerk,Store Manager,2026-01-11
Brandi Bailey,Super Market at Lake Nona,Store Manager,Grocery Stock Clerk,2026-01-09
Mary Nguyen,Super Market at The Villages,Front Service Clerk,Store Manager,2025-12-14
Matthew Lucas,Super Market at The Villages,Bagger,Cashier,2025-12-11
Alexandra Howell,Super Market at Waterford Lakes,Store Manager,Store Manager,2025-12-05
Amber Walters,Super Market at The Villages Shopping Center,Grocery Stock Clerk,Grocery Stock Clerk,2025-11-19
William Martin,Super Market at East Colonial,Cake Decorator,Produce Associate,2025-11-11
Angel Riggs,Super Market at The Villages Shopping Center,Grocery Stock Clerk,Customer Service Manager,2025-10-25
Andrea Jones,Super Market at Lake Nona,Pharmacy Technician,Grocery Stock Clerk,2025-10-21
Christopher Haynes,Super Market at The Villages,Front Service Clerk,Deli Associate,2025-10-15
Stephanie Dalton,Super Market at Waterford Lakes,Customer Service Manager,Pharmacy Technician,2025-10-15
Melissa Bentley,Super Market at Conway Crossing Shopping Center,Produce Associate,Pharmacy Technician,2025-10-14
Grant Watts,Super Market at The Villages,Meat & Seafood Associate,Pharmacist,2025-10-02
Alexandra Howell,Super Market at Waterford Lakes,Bagger,Assistant Store Manager,2025-09-28
Jeffrey Meyer,Super Market at East Colonial,Produce Associate,Front Service Clerk,2025-09-14
Heather Castro,Super Market at Baldwin Park Shopping Center,Meat & Seafood Associate,Deli Associate,2025-09-14
Cynthia Martin,Super Market at The Villages,Customer Service Manager,Front Service Clerk,2025-08-28
Jessica Joyce,Super Market at Lake Nona,Pharmacy Technician,Meat & Seafood Associate,2025-08-21
Eric Drake,Super Market at Conway Crossing Shopping Center,Front Service Clerk,Store Manager,2025-08-18
Alexis Davis,Super Market at The Villages,Bakery Associate,Deli Associate,2025-08-09
Emily Fischer,Super Market at The Villages Shopping Center,Pharmacy Technician,Meat & Seafood Associate,2025-07-21
James House,Super Market at The Villages,Deli Associate,Assistant Store Manager,2025-07-18
Cynthia Martin,Super Market at The Villages,Pharmacy Technician,Grocery Stock Clerk,2025-07-01
Jeffrey Meyer,Super Market at East Colonial,Customer Service Manager,Produce Associate,2025-06-13
Dominique Horton,Super Market at Waterford Lakes,Grocery Stock Clerk,Front Service Clerk,2025-05-29
Dana Kennedy,Super Market at Waterford Lakes,Front Service Clerk,Cashier,2025-05-28
Mary Nguyen,Super Market at The Villages,Bakery Associate,Front Service Clerk,2025-05-09
Stephanie Dalton,Super Market at Waterford Lakes,Pharmacy Technician,Bakery Associate,2025-04-22
John Schmidt,Super Market at Waterford Lakes,Produce Associate,Cake Decorator,2025-04-19
Robert Mcclain,Super Market at Lake Nona,Produce Associate,Customer Service Manager,2025-04-16
Steven Lee,Super Market at Waterford Lakes,Deli Associate,Pharmacy Technician,2025-04-06
Kevin Terrell,Super Market at The Villages,Meat & Seafood Associate,Front Service Clerk,2025-03-31
Alexander Wiley,Super Market at Baldwin Park,Cake Decorator,Pharmacist,2025-03-30
John Schmidt,Super Market at Waterford Lakes,Grocery Stock Clerk,Pharmacist,2025-03-18
Andrea Jones,Super Market at Lake Nona,Meat & Seafood Associate,Bakery Associate,2025-03-17
Dr. Kendra Contreras,Super Market at Waterford Lakes,Meat & Seafood Associate,Assistant Store Manager,2025-02-27
Alexandra Howell,Super Market at Waterford Lakes,Cashier,Pharmacy Technician,2025-02-25
Nicholas Mcbride,Super Market at The Villages Shopping Center,Cake Decorator,Pharmacy Technician,2025-02-25
Jason Shields,Super Market at Baldwin Park,Cake Decorator,Grocery Stock Clerk,2025-02-19
Michael Moss,Super Market at Conway Crossing Shopping Center,Front Service Clerk,Cashier,2025-02-15
Raymond Bell,Super Market at The Villages,Cashier,Grocery Stock Clerk,2025-02-12
Amber Walters,Super Market at The Villages Shopping Center,Meat & Seafood Associate,Bakery Associate,2025-01-15
Alexandra Howell,Super Market at Waterford Lakes,Store Manager,Deli Associate,2025-01-12
Dean Santiago,Super Market at Waterford Lakes,Pharmacy Technician,Bakery Associate,2024-12-22
Lauren Williams,Super Market at The Villages,Grocery Stock Clerk,Store Manager,2024-12-18
Jason Shields,Super Market at Baldwin Park,Pharmacist,Bagger,2024-12-18
Adrienne Zimmerman,Super Market at Waterford Lakes,Grocery Stock Clerk,Deli Associate,2024-12-09
Rachel Stanley,Super Market at Waterford Lakes,Pharmacist,Produce Associate,2024-12-04
Thomas Bailey,Super Market at The Villages,Meat & Seafood Associate,Bagger,2024-11-10
Cynthia Martin,Super Market at The Villages,Bakery Associate,Assistant Store Manager,2024-10-26
Lauren Williams,Super Market at The Villages,Pharmacist,Bagger,2024-10-15
Melissa Bentley,Super Market at Conway Crossing Shopping Center,Cashier,Grocery Stock Clerk,2024-10-04
Ariel Medina,Super Market at The Villages,Deli Associate,Produce Associate,2024-09-15
Kyle Reed,Super Market at Conway Crossing Shopping Center,Pharmacy Technician,Pharmacy Technician,2024-09-12
Michael Moss,Super Market at Conway Crossing Shopping Center,Customer Service Manager,Pharmacist,2024-09-12
