employee_id,employee_name,role,store_id
1,Ian Cooper,Store Manager,1
2,Andrew Stevens,Bakery Associate,1
3,Thomas Miller,Pharmacy Technician,1
4,Mark Mcclure,Customer Service Manager,1
5,Corey Jones,Grocery Stock Clerk,1
6,Patricia Galloway,Assistant Store Manager,1
7,Sharon James,Front Service Clerk,1
8,Roy Martin,Produce Associate,1
9,Michael Miles,Assistant Store Manager,1
10,Andrea Reid,Store Manager,2
11,Danielle Ford,Meat & Seafood Associate,2
12,Timothy Watts,Meat & Seafood Associate,2
13,Frederick Tate,Grocery Stock Clerk,2
14,Rodney Trujillo,Grocery Stock Clerk,2
15,Austin Gentry,Cashier,2
16,Michelle Lewis,Pharmacy Technician,2
17,Dr. Marvin Thomas Jr.,Meat & Seafood Associate,2
18,Kimberly Burgess,Front Service Clerk,2
19,Kevin Cox,Grocery Stock Clerk,2
20,Brenda Snyder PhD,Cashier,2
